# key\tvalue\tscore
# key: pinyin (no spaces/tones)

yaode	要的	3
yaobu	要不	3
yaozai	要在	3
yaoyou	要有	3
yaohen	要很	3
yaoxiang	要想	3
yaoyao	要要	3
yaoqu	要去	3
yaolai	要来	3
yaohui	要会	3
yaokan	要看	3
yaoting	要听	3
yaoshuo	要说	3
yaoxie	要谢	3
yaoqing	要请	3
yaodui	要对	3
yaocuo	要错	3
yaozhong	要中	3
yaoguo	要国	3
yaoren	要人	3
yaotian	要天	3
yaoqi	要气	3
yaojin	要今	3
yaoming	要明	3
yaozuo	要昨	3
yaowan	要晚	3
yaozao	要早	3
yaoshang	要上	3
yaoxia	要下	3
yaodian	要点	3
yaonian	要年	3
yaoyue	要月	3
yaori	要日	3
yaosheng	要生	3
yaogong	要工	3
yaoxue	要学	3
yaoxi	要习	3
yaojia	要家	3
yaopeng	要朋	3
yaolao	要老	3
yaotong	要同	3
yaoxiao	要小	3
yaoda	要大	3
yaoduo	要多	3
yaoshao	要少	3
yaomei	要没	3
yaozhen	要真	3
yaopiao	要漂	3
yaoliang	要亮	3
yaogao	要高	3
yaoxing	要兴	3
yaohe	要喝	3
yaochi	要吃	3
yaofan	要饭	3
yaoshui	要水	3
yaomen	要们	3
yaoma	要吗	3
yaona	要那	3
yaozhe	要这	3
yaozen	要怎	3
yaowei	要为	3
yaoyin	要因	3
yaosuo	要所	3
yaoke	要可	3
quni	去你	3
quhao	去好	3
quwo	去我	3
qushi	去是	3
qude	去的	3
qubu	去不	3
quzai	去在	3
quyou	去有	3
quhen	去很	3
quxiang	去想	3
quyao	去要	3
ququ	去去	3
qulai	去来	3
quhui	去会	3
qukan	去看	3
quting	去听	3
qushuo	去说	3
quxie	去谢	3
quqing	去请	3
qudui	去对	3
qucuo	去错	3
quzhong	去中	3
quguo	去国	3
quren	去人	3
qutian	去天	3
quqi	去气	3
qujin	去今	3
quming	去明	3
quzuo	去昨	3
quwan	去晚	3
quzao	去早	3
qushang	去上	3
quxia	去下	3
qudian	去点	3
qunian	去年	3
quyue	去月	3
quri	去日	3
qusheng	去生	3
qugong	去工	3
quxue	去学	3
quxi	去习	3
qujia	去家	3
qupeng	去朋	3
qulao	去老	3
qutong	去同	3
quxiao	去小	3
quda	去大	3
quduo	去多	3
qushao	去少	3
qumei	去没	3
quzhen	去真	3
qupiao	去漂	3
quliang	去亮	3
qugao	去高	3
quxing	去兴	3
quhe	去喝	3
quchi	去吃	3
qufan	去饭	3
qushui	去水	3
qumen	去们	3
quma	去吗	3
quna	去那	3
quzhe	去这	3
quzen	去怎	3
quwei	去为	3
quyin	去因	3
qusuo	去所	3
quke	去可	3
laini	来你	3
laihao	来好	3
laiwo	来我	3
laishi	来是	3
laide	来的	3
laibu	来不	3
laizai	来在	3
laiyou	来有	3
laihen	来很	3
laixiang	来想	3
laiyao	来要	3
laiqu	来去	3
lailai	来来	3
laihui	来会	3
laikan	来看	3
laiting	来听	3
laishuo	来说	3
laixie	来谢	3
laiqing	来请	3
laidui	来对	3
laicuo	来错	3
laizhong	来中	3
laiguo	来国	3
lairen	来人	3
laitian	来天	3
laiqi	来气	3
laijin	来今	3
laiming	来明	3
laizuo	来昨	3
laiwan	来晚	3
laizao	来早	3
laishang	来上	3
laixia	来下	3
laidian	来点	3
lainian	来年	3
laiyue	来月	3
lairi	来日	3
laisheng	来生	3
laigong	来工	3
laixue	来学	3
laixi	来习	3
laijia	来家	3
laipeng	来朋	3
lailao	来老	3
laitong	来同	3
laixiao	来小	3
laida	来大	3
laiduo	来多	3
laishao	来少	3
laimei	来没	3
laizhen	来真	3
laipiao	来漂	3
lailiang	来亮	3
laigao	来高	3
laixing	来兴	3
laihe	来喝	3
laichi	来吃	3
laifan	来饭	3
laishui	来水	3
laimen	来们	3
laima	来吗	3
laina	来那	3
laizhe	来这	3
laizen	来怎	3
laiwei	来为	3
laiyin	来因	3
laisuo	来所	3
laike	来可	3
huini	会你	3
huihao	会好	3
huiwo	会我	3
huishi	会是	3
huide	会的	3
huibu	会不	3
huizai	会在	3
huiyou	会有	3
huihen	会很	3
huixiang	会想	3
huiyao	会要	3
huiqu	会去	3
huilai	会来	3
huihui	会会	3
huikan	会看	3
huiting	会听	3
huishuo	会说	3
huixie	会谢	3
huiqing	会请	3
huidui	会对	3
huicuo	会错	3
huizhong	会中	3
huiguo	会国	3
huiren	会人	3
huitian	会天	3
huiqi	会气	3
huijin	会今	3
huiming	会明	3
huizuo	会昨	3
huiwan	会晚	3
huizao	会早	3
huishang	会上	3
huixia	会下	3
huidian	会点	3
huinian	会年	3
huiyue	会月	3
huiri	会日	3
huisheng	会生	3
huigong	会工	3
huixue	会学	3
huixi	会习	3
huijia	会家	3
huipeng	会朋	3
huilao	会老	3
huitong	会同	3
huixiao	会小	3
huida	会大	3
huiduo	会多	3
huishao	会少	3
huimei	会没	3
huizhen	会真	3
huipiao	会漂	3
huiliang	会亮	3
huigao	会高	3
huixing	会兴	3
huihe	会喝	3
huichi	会吃	3
huifan	会饭	3
huishui	会水	3
huimen	会们	3
huima	会吗	3
huina	会那	3
huizhe	会这	3
huizen	会怎	3
huiwei	会为	3
huiyin	会因	3
huisuo	会所	3
huike	会可	3
kanni	看你	3
kanhao	看好	3
kanwo	看我	3
kanshi	看是	3
kande	看的	3
kanbu	看不	3
